Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
1995M04,"Apr. 1995",IN0001.04,"Vegetable oilseeds and oils",71.13,,,,,"Not available or not separately reported",-2.82787,,
1995M04,"Apr. 1995",IN0001.06,"Agricultural raw materials",107.39,,,,,"Not available or not separately reported",-3.42626,,
1995M04,"Apr. 1995",IN0001.07,"Minerals, ores and metals",44.49,,,,,"Not available or not separately reported",1.8544,,
1995M04,"Apr. 1995",IN0001.08,"Minerals, ores and non-precious metals",57.51,,,,,"Not available or not separately reported",0.45415,,
1995M04,"Apr. 1995",IN0001.09,"Precious metals",34.19,,,,,"Not available or not separately reported",3.7318,,
1995M04,"Apr. 1995",IN0001.10,"Fuels",38.37,,,,,"Not available or not separately reported",6.31754,,
1995M04,"Apr. 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M04,"Apr. 1995",IN0001.05,"Tropical beverages and food",84.24,,,,,"Not available or not separately reported",-2.22841,,
1995M04,"Apr. 1995",IN0001.22,"All groups excl. fuels",63.01,,,,,"Not available or not separately reported",-0.94325,,
1995M04,"Apr. 1995",IN0001.23,"All groups excl. precious metals",49.59,,,,,"Not available or not separately reported",2.41636,,
1995M04,"Apr. 1995",IN0001.24,"All groups excl. precious metals and fuels",75.98,,,,,"Not available or not separately reported",-1.84731,,
1995M05,"May  1995",IN0001.20,"All groups",47.28,,,,,"Not available or not separately reported",-1.02575,,
1995M05,"May  1995",IN0001.01,"All food",80.03,,,,,"Not available or not separately reported",-0.31141,,
1995M05,"May  1995",IN0001.02,"Food",80.29,,,,,"Not available or not separately reported",0.72764,,
1995M05,"May  1995",IN0001.03,"Tropical beverages",95.73,,,,,"Not available or not separately reported",-2.43579,,
1995M05,"May  1995",IN0001.04,"Vegetable oilseeds and oils",70.66,,,,,"Not available or not separately reported",-0.66076,,
1995M05,"May  1995",IN0001.06,"Agricultural raw materials",105.38,,,,,"Not available or not separately reported",-1.87168,,
1995M05,"May  1995",IN0001.07,"Minerals, ores and metals",43.59,,,,,"Not available or not separately reported",-2.02293,,
1995M05,"May  1995",IN0001.08,"Minerals, ores and non-precious metals",56.09,,,,,"Not available or not separately reported",-2.46914,,
1995M05,"May  1995",IN0001.09,"Precious metals",33.72,,,,,"Not available or not separately reported",-1.37467,,
1995M05,"May  1995",IN0001.10,"Fuels",38.06,,,,,"Not available or not separately reported",-0.80792,,
1995M05,"May  1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M05,"May  1995",IN0001.05,"Tropical beverages and food",84.09,,,,,"Not available or not separately reported",-0.17806,,
1995M05,"May  1995",IN0001.22,"All groups excl. fuels",62.23,,,,,"Not available or not separately reported",-1.2379,,
1995M05,"May  1995",IN0001.23,"All groups excl. precious metals",49.1,,,,,"Not available or not separately reported",-0.9881,,
1995M05,"May  1995",IN0001.24,"All groups excl. precious metals and fuels",75.07,,,,,"Not available or not separately reported",-1.19768,,
1995M06,"June 1995",IN0001.20,"All groups",46.43,,,,,"Not available or not separately reported",-1.7978,,
1995M06,"June 1995",IN0001.01,"All food",80.65,,,,,"Not available or not separately reported",0.77471,,
1995M06,"June 1995",IN0001.02,"Food",82.94,,,,,"Not available or not separately reported",3.30054,,
1995M06,"June 1995",IN0001.03,"Tropical beverages",88.67,,,,,"Not available or not separately reported",-7.37491,,
1995M06,"June 1995",IN0001.04,"Vegetable oilseeds and oils",72.12,,,,,"Not available or not separately reported",2.06623,,
1995M06,"June 1995",IN0001.06,"Agricultural raw materials",99.01,,,,,"Not available or not separately reported",-6.04479,,
1995M06,"June 1995",IN0001.07,"Minerals, ores and metals",44.52,,,,,"Not available or not separately reported",2.13352,,
1995M06,"June 1995",IN0001.08,"Minerals, ores and non-precious metals",58.07,,,,,"Not available or not separately reported",3.53004,,
1995M06,"June 1995",IN0001.09,"Precious metals",33.81,,,,,"Not available or not separately reported",0.2669,,
1995M06,"June 1995",IN0001.10,"Fuels",36.62,,,,,"Not available or not separately reported",-3.7835,,
1995M06,"June 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M06,"June 1995",IN0001.05,"Tropical beverages and food",84.35,,,,,"Not available or not separately reported",0.30919,,
1995M06,"June 1995",IN0001.22,"All groups excl. fuels",62.34,,,,,"Not available or not separately reported",0.17676,,
1995M06,"June 1995",IN0001.23,"All groups excl. precious metals",48.13,,,,,"Not available or not separately reported",-1.97556,,
1995M06,"June 1995",IN0001.24,"All groups excl. precious metals and fuels",75.19,,,,,"Not available or not separately reported",0.15985,,
1995M07,"Jul. 1995",IN0001.20,"All groups",44.77,,,,,"Not available or not separately reported",-3.57527,,
1995M07,"Jul. 1995",IN0001.01,"All food",80.99,,,,,"Not available or not separately reported",0.42157,,
1995M07,"Jul. 1995",IN0001.02,"Food",83.6,,,,,"Not available or not separately reported",0.79576,,
1995M07,"Jul. 1995",IN0001.03,"Tropical beverages",84.11,,,,,"Not available or not separately reported",-5.14266,,
1995M07,"Jul. 1995",IN0001.04,"Vegetable oilseeds and oils",74.68,,,,,"Not available or not separately reported",3.54964,,
1995M07,"Jul. 1995",IN0001.06,"Agricultural raw materials",90.56,,,,,"Not available or not separately reported",-8.53449,,
1995M07,"Jul. 1995",IN0001.07,"Minerals, ores and metals",45.1,,,,,"Not available or not separately reported",1.30279,,
1995M07,"Jul. 1995",IN0001.08,"Minerals, ores and non-precious metals",59.66,,,,,"Not available or not separately reported",2.73807,,
1995M07,"Jul. 1995",IN0001.09,"Precious metals",33.6,,,,,"Not available or not separately reported",-0.62112,,
1995M07,"Jul. 1995",IN0001.10,"Fuels",34.16,,,,,"Not available or not separately reported",-6.71764,,
1995M07,"Jul. 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M07,"Jul. 1995",IN0001.05,"Tropical beverages and food",83.73,,,,,"Not available or not separately reported",-0.73503,,
1995M07,"Jul. 1995",IN0001.22,"All groups excl. fuels",61.97,,,,,"Not available or not separately reported",-0.59352,,
1995M07,"Jul. 1995",IN0001.23,"All groups excl. precious metals",46.27,,,,,"Not available or not separately reported",-3.86453,,
1995M07,"Jul. 1995",IN0001.24,"All groups excl. precious metals and fuels",74.74,,,,,"Not available or not separately reported",-0.59848,,
1995M08,"Aug. 1995",IN0001.20,"All groups",45.24,,,,,"Not available or not separately reported",1.04981,,
1995M08,"Aug. 1995",IN0001.01,"All food",79.64,,,,,"Not available or not separately reported",-1.66687,,
1995M08,"Aug. 1995",IN0001.02,"Food",80.68,,,,,"Not available or not separately reported",-3.49282,,
1995M08,"Aug. 1995",IN0001.03,"Tropical beverages",88.59,,,,,"Not available or not separately reported",5.32636,,
1995M08,"Aug. 1995",IN0001.04,"Vegetable oilseeds and oils",72.73,,,,,"Not available or not separately reported",-2.61114,,
1995M08,"Aug. 1995",IN0001.06,"Agricultural raw materials",92.75,,,,,"Not available or not separately reported",2.41829,,
1995M08,"Aug. 1995",IN0001.07,"Minerals, ores and metals",45.26,,,,,"Not available or not separately reported",0.35477,,
1995M08,"Aug. 1995",IN0001.08,"Minerals, ores and non-precious metals",60.17,,,,,"Not available or not separately reported",0.85484,,
1995M08,"Aug. 1995",IN0001.09,"Precious metals",33.48,,,,,"Not available or not separately reported",-0.35714,,
1995M08,"Aug. 1995",IN0001.10,"Fuels",35.02,,,,,"Not available or not separately reported",2.51756,,
1995M08,"Aug. 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M08,"Aug. 1995",IN0001.05,"Tropical beverages and food",82.63,,,,,"Not available or not separately reported",-1.31375,,
1995M08,"Aug. 1995",IN0001.22,"All groups excl. fuels",61.8,,,,,"Not available or not separately reported",-0.27433,,
1995M08,"Aug. 1995",IN0001.23,"All groups excl. precious metals",46.82,,,,,"Not available or not separately reported",1.18868,,
1995M08,"Aug. 1995",IN0001.24,"All groups excl. precious metals and fuels",74.55,,,,,"Not available or not separately reported",-0.25421,,
1995M09,"Sep. 1995",IN0001.20,"All groups",45.15,,,,,"Not available or not separately reported",-0.19894,,
1995M09,"Sep. 1995",IN0001.01,"All food",76.95,,,,,"Not available or not separately reported",-3.3777,,
1995M09,"Sep. 1995",IN0001.02,"Food",78.2,,,,,"Not available or not separately reported",-3.07387,,
1995M09,"Sep. 1995",IN0001.03,"Tropical beverages",79.65,,,,,"Not available or not separately reported",-10.09143,,
1995M09,"Sep. 1995",IN0001.04,"Vegetable oilseeds and oils",73.22,,,,,"Not available or not separately reported",0.67372,,
1995M09,"Sep. 1995",IN0001.06,"Agricultural raw materials",89.52,,,,,"Not available or not separately reported",-3.48248,,
1995M09,"Sep. 1995",IN0001.07,"Minerals, ores and metals",44.28,,,,,"Not available or not separately reported",-2.16527,,
1995M09,"Sep. 1995",IN0001.08,"Minerals, ores and non-precious metals",57.98,,,,,"Not available or not separately reported",-3.63969,,
1995M09,"Sep. 1995",IN0001.09,"Precious metals",33.45,,,,,"Not available or not separately reported",-0.08961,,
1995M09,"Sep. 1995",IN0001.10,"Fuels",35.98,,,,,"Not available or not separately reported",2.74129,,
1995M09,"Sep. 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M09,"Sep. 1995",IN0001.05,"Tropical beverages and food",78.56,,,,,"Not available or not separately reported",-4.92557,,
1995M09,"Sep. 1995",IN0001.22,"All groups excl. fuels",60.01,,,,,"Not available or not separately reported",-2.89644,,
1995M09,"Sep. 1995",IN0001.23,"All groups excl. precious metals",46.72,,,,,"Not available or not separately reported",-0.21358,,
1995M09,"Sep. 1995",IN0001.24,"All groups excl. precious metals and fuels",71.96,,,,,"Not available or not separately reported",-3.47418,,
1995M10,"Oct. 1995",IN0001.20,"All groups",44.81,,,,,"Not available or not separately reported",-0.75305,,
1995M10,"Oct. 1995",IN0001.01,"All food",78.11,,,,,"Not available or not separately reported",1.50747,,
1995M10,"Oct. 1995",IN0001.02,"Food",79.96,,,,,"Not available or not separately reported",2.25064,,
1995M10,"Oct. 1995",IN0001.03,"Tropical beverages",77.15,,,,,"Not available or not separately reported",-3.13873,,
1995M10,"Oct. 1995",IN0001.04,"Vegetable oilseeds and oils",75.44,,,,,"Not available or not separately reported",3.03196,,
1995M10,"Oct. 1995",IN0001.06,"Agricultural raw materials",91.43,,,,,"Not available or not separately reported",2.1336,,
1995M10,"Oct. 1995",IN0001.07,"Minerals, ores and metals",43.5,,,,,"Not available or not separately reported",-1.76152,,
1995M10,"Oct. 1995",IN0001.08,"Minerals, ores and non-precious metals",56.34,,,,,"Not available or not separately reported",-2.82856,,
1995M10,"Oct. 1995",IN0001.09,"Precious metals",33.36,,,,,"Not available or not separately reported",-0.26906,,
1995M10,"Oct. 1995",IN0001.10,"Fuels",35.35,,,,,"Not available or not separately reported",-1.75097,,
1995M10,"Oct. 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M10,"Oct. 1995",IN0001.05,"Tropical beverages and food",79.27,,,,,"Not available or not separately reported",0.90377,,
1995M10,"Oct. 1995",IN0001.22,"All groups excl. fuels",60.16,,,,,"Not available or not separately reported",0.24996,,
1995M10,"Oct. 1995",IN0001.23,"All groups excl. precious metals",46.35,,,,,"Not available or not separately reported",-0.79195,,
1995M10,"Oct. 1995",IN0001.24,"All groups excl. precious metals and fuels",72.23,,,,,"Not available or not separately reported",0.37521,,
1995M11,"Nov. 1995",IN0001.20,"All groups",46.36,,,,,"Not available or not separately reported",3.45905,,
1995M11,"Nov. 1995",IN0001.01,"All food",77.77,,,,,"Not available or not separately reported",-0.43528,,
1995M11,"Nov. 1995",IN0001.02,"Food",78.76,,,,,"Not available or not separately reported",-1.50075,,
1995M11,"Nov. 1995",IN0001.03,"Tropical beverages",76.29,,,,,"Not available or not separately reported",-1.11471,,
1995M11,"Nov. 1995",IN0001.04,"Vegetable oilseeds and oils",76.9,,,,,"Not available or not separately reported",1.93531,,
1995M11,"Nov. 1995",IN0001.06,"Agricultural raw materials",97.42,,,,,"Not available or not separately reported",6.55146,,
1995M11,"Nov. 1995",IN0001.07,"Minerals, ores and metals",44.36,,,,,"Not available or not separately reported",1.97701,,
1995M11,"Nov. 1995",IN0001.08,"Minerals, ores and non-precious metals",58.11,,,,,"Not available or not separately reported",3.14164,,
1995M11,"Nov. 1995",IN0001.09,"Precious metals",33.5,,,,,"Not available or not separately reported",0.41966,,
1995M11,"Nov. 1995",IN0001.10,"Fuels",37.27,,,,,"Not available or not separately reported",5.4314,,
1995M11,"Nov. 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M11,"Nov. 1995",IN0001.05,"Tropical beverages and food",78.15,,,,,"Not available or not separately reported",-1.41289,,
1995M11,"Nov. 1995",IN0001.22,"All groups excl. fuels",61.1,,,,,"Not available or not separately reported",1.5625,,
1995M11,"Nov. 1995",IN0001.23,"All groups excl. precious metals",48.09,,,,,"Not available or not separately reported",3.75405,,
1995M11,"Nov. 1995",IN0001.24,"All groups excl. precious metals and fuels",73.53,,,,,"Not available or not separately reported",1.79981,,
1995M12,"Dec. 1995",IN0001.20,"All groups",48.58,,,,,"Not available or not separately reported",4.78861,,
1995M12,"Dec. 1995",IN0001.01,"All food",76.86,,,,,"Not available or not separately reported",-1.17012,,
1995M12,"Dec. 1995",IN0001.02,"Food",79.42,,,,,"Not available or not separately reported",0.83799,,
1995M12,"Dec. 1995",IN0001.03,"Tropical beverages",67.49,,,,,"Not available or not separately reported",-11.53493,,
1995M12,"Dec. 1995",IN0001.04,"Vegetable oilseeds and oils",77.73,,,,,"Not available or not separately reported",1.07932,,
1995M12,"Dec. 1995",IN0001.06,"Agricultural raw materials",96.9,,,,,"Not available or not separately reported",-0.53377,,
1995M12,"Dec. 1995",IN0001.07,"Minerals, ores and metals",44.29,,,,,"Not available or not separately reported",-0.1578,,
1995M12,"Dec. 1995",IN0001.08,"Minerals, ores and non-precious metals",57.83,,,,,"Not available or not separately reported",-0.48184,,
1995M12,"Dec. 1995",IN0001.09,"Precious metals",33.58,,,,,"Not available or not separately reported",0.23881,,
1995M12,"Dec. 1995",IN0001.10,"Fuels",41.1,,,,,"Not available or not separately reported",10.27636,,
1995M12,"Dec. 1995",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1995M12,"Dec. 1995",IN0001.05,"Tropical beverages and food",76.48,,,,,"Not available or not separately reported",-2.13692,,
1995M12,"Dec. 1995",IN0001.22,"All groups excl. fuels",60.69,,,,,"Not available or not separately reported",-0.67103,,
1995M12,"Dec. 1995",IN0001.23,"All groups excl. precious metals",50.59,,,,,"Not available or not separately reported",5.19859,,
1995M12,"Dec. 1995",IN0001.24,"All groups excl. precious metals and fuels",72.9,,,,,"Not available or not separately reported",-0.85679,,
1996M01,"Jan. 1996",IN0001.20,"All groups",48.94,,,6.32196,,,0.74105,,
1996M01,"Jan. 1996",IN0001.01,"All food",78.34,,,-2.98452,,,1.92558,,
1996M01,"Jan. 1996",IN0001.02,"Food",81.25,,,0.53205,,,2.30421,,
1996M01,"Jan. 1996",IN0001.03,"Tropical beverages",71.56,,,-25.12295,,,6.03052,,
1996M01,"Jan. 1996",IN0001.04,"Vegetable oilseeds and oils",77.15,,,6.85596,,,-0.74617,,
1996M01,"Jan. 1996",IN0001.06,"Agricultural raw materials",93.08,,,-10.18912,,,-3.94221,,
1996M01,"Jan. 1996",IN0001.07,"Minerals, ores and metals",44.08,,,-3.24846,,,-0.47415,,
1996M01,"Jan. 1996",IN0001.08,"Minerals, ores and non-precious metals",55.99,,,-9.38663,,,-3.18174,,
1996M01,"Jan. 1996",IN0001.09,"Precious metals",34.68,,,5.95784,,,3.27576,,
1996M01,"Jan. 1996",IN0001.10,"Fuels",41.66,,,17.95017,,,1.36253,,
1996M01,"Jan. 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M01,"Jan. 1996",IN0001.05,"Tropical beverages and food",78.86,,,-6.6193,,,3.11192,,
1996M01,"Jan. 1996",IN0001.22,"All groups excl. fuels",60.73,,,-4.21136,,,0.06591,,
1996M01,"Jan. 1996",IN0001.23,"All groups excl. precious metals",50.85,,,6.33626,,,0.51394,,
1996M01,"Jan. 1996",IN0001.24,"All groups excl. precious metals and fuels",72.46,,,-6.15205,,,-0.60357,,
1996M02,"Feb. 1996",IN0001.20,"All groups",52.08,,,12.41096,,,6.41602,,
1996M02,"Feb. 1996",IN0001.01,"All food",79.92,,,-0.46083,,,2.01685,,
1996M02,"Feb. 1996",IN0001.02,"Food",82.94,,,3.03106,,,2.08,,
1996M02,"Feb. 1996",IN0001.03,"Tropical beverages",78.01,,,-18.14271,,,9.01342,,
1996M02,"Feb. 1996",IN0001.04,"Vegetable oilseeds and oils",75.74,,,6.10815,,,-1.82761,,
1996M02,"Feb. 1996",IN0001.06,"Agricultural raw materials",95.48,,,-8.67527,,,2.57843,,
1996M02,"Feb. 1996",IN0001.07,"Minerals, ores and metals",44.25,,,0.47684,,,0.38566,,
1996M02,"Feb. 1996",IN0001.08,"Minerals, ores and non-precious metals",55.75,,,-4.81475,,,-0.42865,,
1996M02,"Feb. 1996",IN0001.09,"Precious metals",35.17,,,8.04916,,,1.41292,,
1996M02,"Feb. 1996",IN0001.10,"Fuels",46.21,,,27.09021,,,10.92175,,
1996M02,"Feb. 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M02,"Feb. 1996",IN0001.05,"Tropical beverages and food",81.73,,,-2.87582,,,3.63936,,
1996M02,"Feb. 1996",IN0001.22,"All groups excl. fuels",61.6,,,-1.42423,,,1.43257,,
1996M02,"Feb. 1996",IN0001.23,"All groups excl. precious metals",54.35,,,12.80614,,,6.88299,,
1996M02,"Feb. 1996",IN0001.24,"All groups excl. precious metals and fuels",73.5,,,-3.23855,,,1.43527,,
1996M03,"Mar. 1996",IN0001.20,"All groups",50.18,,,7.70552,,,-3.64823,,
1996M03,"Mar. 1996",IN0001.01,"All food",79.7,,,-3.1003,,,-0.27528,,
1996M03,"Mar. 1996",IN0001.02,"Food",83.78,,,2.70933,,,1.01278,,
1996M03,"Mar. 1996",IN0001.03,"Tropical beverages",75.74,,,-24.42626,,,-2.90988,,
1996M03,"Mar. 1996",IN0001.04,"Vegetable oilseeds and oils",74.87,,,2.28142,,,-1.14867,,
1996M03,"Mar. 1996",IN0001.06,"Agricultural raw materials",91.25,,,-17.94065,,,-4.43025,,
1996M03,"Mar. 1996",IN0001.07,"Minerals, ores and metals",44.07,,,0.89286,,,-0.40678,,
1996M03,"Mar. 1996",IN0001.08,"Minerals, ores and non-precious metals",56.28,,,-1.69432,,,0.95067,,
1996M03,"Mar. 1996",IN0001.09,"Precious metals",34.43,,,4.45995,,,-2.10407,,
1996M03,"Mar. 1996",IN0001.10,"Fuels",43.5,,,20.532,,,-5.86453,,
1996M03,"Mar. 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M03,"Mar. 1996",IN0001.05,"Tropical beverages and food",81.8,,,-5.06035,,,0.08565,,
1996M03,"Mar. 1996",IN0001.22,"All groups excl. fuels",61.02,,,-4.07169,,,-0.94156,,
1996M03,"Mar. 1996",IN0001.23,"All groups excl. precious metals",52.3,,,8.01322,,,-3.77185,,
1996M03,"Mar. 1996",IN0001.24,"All groups excl. precious metals and fuels",72.99,,,-5.70986,,,-0.69388,,
1996M04,"Apr. 1996",IN0001.20,"All groups",49.98,,,4.62633,,,-0.39857,,
1996M04,"Apr. 1996",IN0001.01,"All food",81.21,,,1.15845,,,1.8946,,
1996M04,"Apr. 1996",IN0001.02,"Food",83.39,,,4.61674,,,-0.4655,,
1996M04,"Apr. 1996",IN0001.03,"Tropical beverages",76.03,,,-22.51325,,,0.38289,,
1996M04,"Apr. 1996",IN0001.04,"Vegetable oilseeds and oils",80.37,,,12.9903,,,7.34607,,
1996M04,"Apr. 1996",IN0001.06,"Agricultural raw materials",89.57,,,-16.59372,,,-1.8411,,
1996M04,"Apr. 1996",IN0001.07,"Minerals, ores and metals",44.01,,,-1.07889,,,-0.13615,,
1996M04,"Apr. 1996",IN0001.08,"Minerals, ores and non-precious metals",56.56,,,-1.65189,,,0.49751,,
1996M04,"Apr. 1996",IN0001.09,"Precious metals",34.09,,,-0.29248,,,-0.98751,,
1996M04,"Apr. 1996",IN0001.10,"Fuels",42.98,,,12.01459,,,-1.1954,,
1996M04,"Apr. 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M04,"Apr. 1996",IN0001.05,"Tropical beverages and food",81.58,,,-3.15764,,,-0.26895,,
1996M04,"Apr. 1996",IN0001.22,"All groups excl. fuels",61.34,,,-2.65037,,,0.52442,,
1996M04,"Apr. 1996",IN0001.23,"All groups excl. precious metals",52.12,,,5.10184,,,-0.34417,,
1996M04,"Apr. 1996",IN0001.24,"All groups excl. precious metals and fuels",73.61,,,-3.11924,,,0.84943,,
1996M05,"May  1996",IN0001.20,"All groups",48.8,,,3.21489,,,-2.36094,,
